status,variant_id,sku,message,error
updated,48366413709577,ce2ae6e649a09a0b47,SKU updated,
updated,48366413840649,bae99cb1e0de0d39e1,SKU updated,
updated,48365997392137,a5db2ffc462c276035,SKU updated,
updated,54932707672329,AUTOSKU-0000005A,SKU updated,
updated,54932707705097,AUTOSKU-0000005B,SKU updated,
updated,54932707737865,AUTOSKU-0000005C,SKU updated,
updated,54932707770633,AUTOSKU-0000005D,SKU updated,
updated,54932707803401,AUTOSKU-0000005E,SKU updated,
updated,54932707836169,AUTOSKU-0000005F,SKU updated,
updated,54932707868937,AUTOSKU-0000005G,SKU updated,
updated,54932707901705,AUTOSKU-0000005H,SKU updated,
updated,54932707934473,AUTOSKU-0000005I,SKU updated,
updated,54932707967241,AUTOSKU-0000005J,SKU updated,
updated,54932708000009,AUTOSKU-0000005K,SKU updated,
updated,54932708032777,AUTOSKU-0000005L,SKU updated,
updated,54932708065545,AUTOSKU-0000005M,SKU updated,
updated,54932708098313,AUTOSKU-0000005N,SKU updated,
updated,54932708131081,AUTOSKU-0000005O,SKU updated,
updated,54932708163849,AUTOSKU-0000005P,SKU updated,
updated,54932708196617,AUTOSKU-0000005Q,SKU updated,
updated,54932708229385,AUTOSKU-0000005R,SKU updated,
updated,54932708262153,AUTOSKU-0000005S,SKU updated,
updated,54932708294921,AUTOSKU-0000005T,SKU updated,
updated,54932902740233,AUTOSKU-0000005U,SKU updated,
updated,54932902773001,AUTOSKU-0000005V,SKU updated,
updated,54932902805769,AUTOSKU-0000005W,SKU updated,
updated,54932902838537,AUTOSKU-0000005X,SKU updated,
updated,54932902871305,AUTOSKU-0000005Y,SKU updated,
updated,54932902904073,AUTOSKU-0000005Z,SKU updated,
updated,54932902936841,AUTOSKU-00000060,SKU updated,
updated,54932902969609,AUTOSKU-00000061,SKU updated,
updated,54932903002377,AUTOSKU-00000062,SKU updated,
updated,54932903035145,AUTOSKU-00000063,SKU updated,
updated,54932903067913,AUTOSKU-00000064,SKU updated,
updated,54932903100681,AUTOSKU-00000065,SKU updated,
updated,54932903133449,AUTOSKU-00000066,SKU updated,
updated,54932903166217,AUTOSKU-00000067,SKU updated,
updated,54932903198985,AUTOSKU-00000068,SKU updated,
updated,54932903231753,AUTOSKU-00000069,SKU updated,
updated,54932903264521,AUTOSKU-0000006A,SKU updated,
updated,54932903297289,AUTOSKU-0000006B,SKU updated,
updated,54932903330057,AUTOSKU-0000006C,SKU updated,
updated,54932903362825,AUTOSKU-0000006D,SKU updated,
updated,54933739536649,AUTOSKU-0000006E,SKU updated,
updated,54933739569417,AUTOSKU-0000006F,SKU updated,
updated,54933739602185,AUTOSKU-0000006G,SKU updated,
updated,54933739634953,AUTOSKU-0000006H,SKU updated,
updated,54933739667721,AUTOSKU-0000006I,SKU updated,
updated,54933739700489,AUTOSKU-0000006J,SKU updated,
updated,54933739733257,AUTOSKU-0000006K,SKU updated,
updated,54933739766025,AUTOSKU-0000006L,SKU updated,
updated,54933739798793,AUTOSKU-0000006M,SKU updated,
updated,54933739831561,AUTOSKU-0000006N,SKU updated,
updated,54933739864329,AUTOSKU-0000006O,SKU updated,
updated,54933739897097,AUTOSKU-0000006P,SKU updated,
updated,54933739929865,AUTOSKU-0000006Q,SKU updated,
updated,54933739962633,AUTOSKU-0000006R,SKU updated,
updated,54933739995401,AUTOSKU-0000006S,SKU updated,
updated,54933740028169,AUTOSKU-0000006T,SKU updated,
updated,54933786132745,AUTOSKU-0000006U,SKU updated,
updated,54933786165513,AUTOSKU-0000006V,SKU updated,
updated,54933786198281,AUTOSKU-0000006W,SKU updated,
updated,54933786231049,AUTOSKU-0000006X,SKU updated,
updated,54933786263817,AUTOSKU-0000006Y,SKU updated,
updated,54933786296585,AUTOSKU-0000006Z,SKU updated,
updated,54933786329353,AUTOSKU-00000070,SKU updated,
updated,54933786362121,AUTOSKU-00000071,SKU updated,
updated,54933786394889,AUTOSKU-00000072,SKU updated,
updated,54933786427657,AUTOSKU-00000073,SKU updated,
updated,54933786460425,AUTOSKU-00000074,SKU updated,
updated,54933786493193,AUTOSKU-00000075,SKU updated,
updated,54933786525961,AUTOSKU-00000076,SKU updated,
updated,54933786558729,AUTOSKU-00000077,SKU updated,
updated,54933786591497,AUTOSKU-00000078,SKU updated,
updated,54933786624265,AUTOSKU-00000079,SKU updated,
updated,54942095507721,AUTOSKU-0000007D,SKU updated,
updated,54942095540489,AUTOSKU-0000007E,SKU updated,
updated,54942095573257,AUTOSKU-0000007F,SKU updated,
updated,54942095704329,AUTOSKU-0000007M,SKU updated,
updated,54942095737097,AUTOSKU-0000007N,SKU updated,
updated,54942095769865,AUTOSKU-0000007O,SKU updated,
updated,54942095900937,AUTOSKU-0000007G,SKU updated,
updated,54942095933705,AUTOSKU-0000007H,SKU updated,
updated,54942095966473,AUTOSKU-0000007I,SKU updated,
updated,54942096097545,AUTOSKU-0000007J,SKU updated,
updated,54942096130313,AUTOSKU-0000007K,SKU updated,
updated,54942096163081,AUTOSKU-0000007L,SKU updated,
updated,54942130503945,AUTOSKU-0000007A,SKU updated,
updated,54942130536713,AUTOSKU-0000007B,SKU updated,
updated,54942130569481,AUTOSKU-0000007C,SKU updated,
updated,54942064083209,AUTOSKU-0000007P,SKU updated,
updated,54942064115977,AUTOSKU-0000007Q,SKU updated,
updated,54942064148745,AUTOSKU-0000007R,SKU updated,
updated,55538991268105,AUTOSKU-0000007S,SKU updated,
updated,54942064279817,AUTOSKU-0000007T,SKU updated,
updated,54942064312585,AUTOSKU-0000007U,SKU updated,
updated,54942064345353,AUTOSKU-0000007V,SKU updated,
