Produktnavn,Produkt ID,Variantnavn,Variant ID,SKU,Option1,Option2,Option3,Status,Pris
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,256GB / Brugt / Sølv,48559234023689,8acd8c9643e8546c,256GB,Brugt,Sølv,continue,2749.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,256GB / Rigtig god / Space Grey,48559234056457,c1e88248355cd51a,256GB,Rigtig god,Space Grey,continue,2949.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,256GB / Rigtig god / Sølv,48559234089225,f9f8f96189ccd0c9,256GB,Rigtig god,Sølv,continue,2949.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,256GB / Som ny / Space Grey,48559234121993,fb03b110d9edaf20,256GB,Som ny,Space Grey,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,256GB / Som ny / Sølv,48559234154761,b49a903ae0c4b9e8,256GB,Som ny,Sølv,continue,3149.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,9317479514377,64GB / Rigtig god / Blå,48551893598473,fa19319a82c6f3e8,64GB,Rigtig god,Blå,continue,3449.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,9317479514377,64GB / Rigtig god / Gul,48551893631241,686fc7eb760aed62,64GB,Rigtig god,Gul,continue,3449.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,9317479514377,64GB / Rigtig god / Lyserød,48551893664009,42e2776b498c32ad,64GB,Rigtig god,Lyserød,continue,3449.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,9317479514377,64GB / Rigtig god / Sølv,48551893696777,5c8ae1e8399f8391,64GB,Rigtig god,Sølv,continue,3449.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,9317479514377,64GB / Som ny / Blå,48551893729545,a50dead6542ee7a7,64GB,Som ny,Blå,continue,3649.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,9317479514377,64GB / Som ny / Gul,48551893762313,3b5985da7e70ccc2,64GB,Som ny,Gul,continue,3649.00
