status,variant_id,sku,message,error
updated,55105463386487,AUTOSKU-000000AI,SKU updated,
updated,55105463288183,AUTOSKU-000000AJ,SKU updated,
updated,55105463320951,AUTOSKU-000000AK,SKU updated,
updated,55105463746935,AUTOSKU-000000AL,SKU updated,
updated,55105463779703,AUTOSKU-000000AM,SKU updated,
updated,55105463681399,AUTOSKU-000000AN,SKU updated,
updated,55105463714167,AUTOSKU-000000AO,SKU updated,
updated,55105463615863,AUTOSKU-000000AP,SKU updated,
updated,55105463648631,AUTOSKU-000000AQ,SKU updated,
updated,55105463550327,AUTOSKU-000000AR,SKU updated,
updated,55105463583095,AUTOSKU-000000AS,SKU updated,
updated,55105464009079,AUTOSKU-000000AT,SKU updated,
updated,55105464041847,AUTOSKU-000000AU,SKU updated,
updated,55105463943543,AUTOSKU-000000AV,SKU updated,
updated,55105463976311,AUTOSKU-000000AW,SKU updated,
updated,55105463878007,AUTOSKU-000000AX,SKU updated,
updated,55105463910775,AUTOSKU-000000AY,SKU updated,
updated,55105463812471,AUTOSKU-000000AZ,SKU updated,
updated,55105463845239,AUTOSKU-000000B0,SKU updated,
updated,55105473642871,AUTOSKU-000000B1,SKU updated,
updated,55105473675639,AUTOSKU-000000B2,SKU updated,
updated,55105474625911,AUTOSKU-000000B3,SKU updated,
updated,55105473577335,AUTOSKU-000000B4,SKU updated,
updated,55105473610103,AUTOSKU-000000B5,SKU updated,
updated,55105474593143,AUTOSKU-000000B6,SKU updated,
updated,55105473511799,AUTOSKU-000000B7,SKU updated,
updated,55105473544567,AUTOSKU-000000B8,SKU updated,
updated,55105474560375,AUTOSKU-000000B9,SKU updated,
updated,55105473446263,AUTOSKU-000000BA,SKU updated,
updated,55105473479031,AUTOSKU-000000BB,SKU updated,
updated,55105474527607,AUTOSKU-000000BC,SKU updated,
updated,55105473905015,AUTOSKU-000000BD,SKU updated,
updated,55105473937783,AUTOSKU-000000BE,SKU updated,
updated,55105474756983,AUTOSKU-000000BF,SKU updated,
updated,55105473839479,AUTOSKU-000000BG,SKU updated,
updated,55105473872247,AUTOSKU-000000BH,SKU updated,
updated,55105474724215,AUTOSKU-000000BI,SKU updated,
updated,55105473773943,AUTOSKU-000000BJ,SKU updated,
updated,55105473806711,AUTOSKU-000000BK,SKU updated,
updated,55105474691447,AUTOSKU-000000BL,SKU updated,
updated,55105473708407,AUTOSKU-000000BM,SKU updated,
updated,55105473741175,AUTOSKU-000000BN,SKU updated,
updated,55105474658679,AUTOSKU-000000BO,SKU updated,
updated,55086040088951,AUTOSKU-000000BP,SKU updated,
updated,55086040121719,AUTOSKU-000000BQ,SKU updated,
updated,55086040023415,AUTOSKU-000000BR,SKU updated,
updated,55086040056183,AUTOSKU-000000BS,SKU updated,
updated,55086039957879,AUTOSKU-000000BT,SKU updated,
updated,55086039990647,AUTOSKU-000000BU,SKU updated,
updated,55086039892343,AUTOSKU-000000BV,SKU updated,
updated,55086039925111,AUTOSKU-000000BW,SKU updated,
updated,55086040351095,AUTOSKU-000000BX,SKU updated,
updated,55086040383863,AUTOSKU-000000BY,SKU updated,
updated,55086040285559,AUTOSKU-000000BZ,SKU updated,
updated,55086040318327,AUTOSKU-000000C0,SKU updated,
updated,55086040220023,AUTOSKU-000000C1,SKU updated,
updated,55086040252791,AUTOSKU-000000C2,SKU updated,
updated,55086040154487,AUTOSKU-000000C3,SKU updated,
updated,55086040187255,AUTOSKU-000000C4,SKU updated,
updated,55086040613239,AUTOSKU-000000C5,SKU updated,
updated,55086040646007,AUTOSKU-000000C6,SKU updated,
updated,55086040547703,AUTOSKU-000000C7,SKU updated,
updated,55086040580471,AUTOSKU-000000C8,SKU updated,
updated,55086040482167,AUTOSKU-000000C9,SKU updated,
updated,55086040514935,AUTOSKU-000000CA,SKU updated,
updated,55086040416631,AUTOSKU-000000CB,SKU updated,
updated,55086040449399,AUTOSKU-000000CC,SKU updated,
updated,55086040875383,AUTOSKU-000000CD,SKU updated,
updated,55086040908151,AUTOSKU-000000CE,SKU updated,
updated,55086040809847,AUTOSKU-000000CF,SKU updated,
updated,55086040842615,AUTOSKU-000000CG,SKU updated,
updated,55086040744311,AUTOSKU-000000CH,SKU updated,
updated,55086040777079,AUTOSKU-000000CI,SKU updated,
updated,55086040678775,AUTOSKU-000000CJ,SKU updated,
updated,55086040711543,AUTOSKU-000000CK,SKU updated,
updated,55083748721015,AUTOSKU-000000CL,SKU updated,
updated,55083748753783,AUTOSKU-000000CM,SKU updated,
updated,55083748655479,AUTOSKU-000000CN,SKU updated,
updated,55083748688247,AUTOSKU-000000CO,SKU updated,
updated,55083748589943,AUTOSKU-000000CP,SKU updated,
updated,55083748622711,AUTOSKU-000000CQ,SKU updated,
updated,55083748524407,AUTOSKU-000000CR,SKU updated,
updated,55083748557175,AUTOSKU-000000CS,SKU updated,
updated,55083748983159,AUTOSKU-000000CT,SKU updated,
updated,55083749015927,AUTOSKU-000000CU,SKU updated,
updated,55083748917623,AUTOSKU-000000CV,SKU updated,
updated,55083748950391,AUTOSKU-000000CW,SKU updated,
updated,55083748852087,AUTOSKU-000000CX,SKU updated,
updated,55083748884855,AUTOSKU-000000CY,SKU updated,
updated,55083748786551,AUTOSKU-000000CZ,SKU updated,
updated,55083748819319,AUTOSKU-000000D0,SKU updated,
updated,55083749245303,AUTOSKU-000000D1,SKU updated,
updated,55083749278071,AUTOSKU-000000D2,SKU updated,
updated,55083749179767,AUTOSKU-000000D3,SKU updated,
updated,55083749212535,AUTOSKU-000000D4,SKU updated,
updated,55083749114231,AUTOSKU-000000D5,SKU updated,
updated,55083749146999,AUTOSKU-000000D6,SKU updated,
updated,55083749048695,AUTOSKU-000000D7,SKU updated,
updated,55083749081463,AUTOSKU-000000D8,SKU updated,
updated,55083749507447,AUTOSKU-000000D9,SKU updated,
updated,55083749540215,AUTOSKU-000000DA,SKU updated,
updated,55083749441911,AUTOSKU-000000DB,SKU updated,
updated,55083749474679,AUTOSKU-000000DC,SKU updated,
updated,55083749376375,AUTOSKU-000000DD,SKU updated,
updated,55083749409143,AUTOSKU-000000DE,SKU updated,
